Id,Name,authorname,year,Type,synopsis,disposability
1,El secreto del viento,Carlos Pérez,1998,physical,Una historia de misterio en un pequeño pueblo,false
2,Código del mañana,Ana Torres,2015,digital,Un thriller tecnológico sobre inteligencia artificial,false
3,Sombras eternas,Juan Ramírez,2003,physical,Relato de fantasía oscura con héroes y villanos,true
4,La melodía perdida,Lucía Gómez,2021,digital,Novela romántica con giros inesperados,true
5,Camino a las estrellas,María Fernández,1987,physical,Ciencia ficción clásica de viajes espaciales,true
6,El guardián del tiempo,Sergio López,2010,digital,Aventura donde un reloj controla el destino,true
7,Reflejos rotos,Beatriz Sánchez,2005,physical,Drama psicológico ambientado en la ciudad,true
8,Horizontes de fuego,Pedro Morales,2019,digital,Epopeya de ciencia ficción con mundos en guerra,true
9,El eco de la montaña,Isabel Ruiz,1992,physical,Narrativa costumbrista de una familia en los Andes,true
10,Red digital,Luis Herrera,2023,digital,Cibercrimen y hackers en un futuro cercano,false
11,Los susurros del bosque,Elena Vargas,1995,physical,Un misterio entre árboles antiguos,false
12,Tiempo de cenizas,Raúl Ortega,2014,digital,Distopía sobre un mundo devastado,true
13,La luz del ocaso,Claudia Méndez,2008,physical,Historia de amor imposible en tiempos difíciles,true
14,Conexión Alfa,Tomás Blanco,2020,digital,Una red secreta que conecta conciencias humanas,true
15,Las crónicas del vacío,Patricia Soto,2002,physical,Exploradores atrapados entre dimensiones,false
16,El pacto del silencio,Julio Navarro,2011,digital,Suspenso político con secretos familiares,true
17,Sombras del norte,Andrea Salas,1996,physical,Aventura ártica con tintes sobrenaturales,false
18,El algoritmo del destino,Manuel Cabrera,2018,digital,Drama sobre decisiones controladas por IA,true
19,Cielos de cristal,Laura Núñez,2001,physical,Viaje introspectivo a través de recuerdos rotos,true
20,Sin red,Daniel Rojas,2022,digital,Thriller sobre desconexión tecnológica,false
21,El último faro,Carolina Muñoz,1999,physical,Relato de soledad en una isla olvidada,true
22,Bitácora lunar,David Herrera,2017,digital,Diario de astronautas perdidos en la luna,false
23,El vuelo del cuervo,Silvia Campos,2006,physical,Relato gótico sobre venganza y redención,true
24,Fragmentos del futuro,Alberto Pineda,2012,digital,Historias cortas de ciencia ficción,true
25,Los hijos del trueno,Natalia Fuentes,1994,physical,Epopeya mitológica entre dioses y humanos,true
26,Mente compartida,Óscar Delgado,2016,digital,Conexión mental entre desconocidos,false
27,El suspiro del océano,Lorena Díaz,2003,physical,Relato poético sobre el amor y el mar,true
28,Neón en la lluvia,Gabriel León,2021,digital,Noir futurista en una ciudad lluviosa,false
29,Los relojes de arena,Rosa Varela,2000,physical,Novela sobre el paso del tiempo,true
30,Sistema Alfa Beta,Federico Luna,2019,digital,Red social que controla la mente humana,true
31,La casa de los espejos,Marina Castro,1993,physical,Misterio en una mansión encantada,true
32,Nodos de la memoria,Ignacio Gómez,2018,digital,Un hacker intenta recuperar recuerdos borrados,true
33,La senda dorada,Pilar Ramos,1990,physical,Fantasía épica sobre un reino perdido,false
34,Proyecto Aurora,Enrique Salgado,2015,digital,Experimento científico con consecuencias inesperadas,true
35,El corazón de la tormenta,Lucía Cabrera,2007,physical,Historia de amor y supervivencia,false
36,Redención binaria,César Domínguez,2022,digital,Ciencia ficción sobre el alma digital,true
37,El guardián de la sombra,Ángela Torres,2001,physical,Fantasía urbana con guardianes ancestrales,true
38,Memorias del código,Roberto Peña,2013,digital,Un programador revive sus errores a través del tiempo,false
39,Los siete círculos,Patricia Lozano,1997,physical,Relato de aventuras con tintes teológicos,true
40,Eco virtual,Esteban Rivas,2020,digital,Un universo simulado se rebela contra su creador,true
41,El susurro del fuego,Andrea Ponce,1992,physical,Drama histórico entre guerras,false
42,Sector 9,Daniela Flores,2018,digital,Operación encubierta en un futuro posthumano,true
43,El jardín de cenizas,Raquel Blanco,2005,physical,Una historia de pérdida y redención,true
44,Red infinita,Camilo Reyes,2021,digital,Un hacker descubre el fin del Internet,true
